date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation
2014-07-03,84,73,94,75,93,66,100,1977,1980,0,0.16,1.29
2014-07-05,82,73,90,75,93,66,102,1924,2009,0.31,0.16,3.04
2014-07-11,83,72,94,75,93,64,103,1905,1980,0,0.13,3.08
2014-07-12,84,74,94,75,93,65,104,1891,1980,0,0.12,5.19
2014-07-22,87,77,96,75,94,67,101,1988,2000,0,0.1,2.78
2014-07-24,84,73,94,75,94,68,101,1972,1954,0.01,0.1,2.09
2014-08-01,80,73,87,75,95,67,103,1984,1998,0.01,0.1,2.1
2014-08-03,81,72,89,75,95,66,103,1949,1998,0,0.1,1.77
2014-08-05,83,74,92,75,95,64,103,1976,1964,0,0.1,2.81
2014-08-09,86,77,94,75,95,62,106,1989,1962,0,0.11,1.83
2014-08-12,87,76,97,75,95,64,105,1989,1962,0,0.11,1.41
2014-08-17,88,78,97,75,95,60,104,1992,1909,0,0.12,3.57
2014-08-19,85,76,94,75,95,69,107,2000,1909,0,0.13,1.85
2014-08-20,85,74,96,75,95,65,107,1976,1909,0.01,0.13,1.8
2014-08-24,86,74,98,75,94,54,105,1891,1980,0,0.14,2.48
2014-08-27,85,75,94,74,94,59,109,1891,2011,0,0.14,8.32
2014-09-02,85,76,94,73,93,60,104,1893,2000,0,0.14,1.81
2014-09-07,84,73,95,72,92,59,98,1891,1963,0.42,0.15,4.55
2014-09-10,87,78,95,72,91,59,99,1988,1993,0,0.16,1.82
2014-09-17,82,75,89,70,89,55,100,2000,1995,0.25,0.13,1.85
2014-09-22,83,72,93,68,88,49,100,1983,2005,0,0.12,3.14
2014-09-25,74,68,80,67,87,50,99,1994,2005,0,0.13,3.05
2014-10-02,82,71,93,65,86,47,97,1984,1938,0.78,0.16,2.25
2014-10-06,75,65,84,64,85,44,94,1975,1928,0.69,0.17,4.42
2014-10-09,79,68,90,63,84,40,93,1976,1962,0,0.17,3.6
2014-10-14,67,54,79,61,83,40,92,1977,1954,0,0.19,4.91
2014-10-15,68,51,84,61,82,40,92,1978,1947,0,0.2,4.87
2014-10-22,72,61,82,59,80,41,91,1898,2004,0,0.2,3.7
2014-10-24,68,54,82,59,80,39,92,1908,1931,0,0.19,2.13
2014-11-02,57,41,72,56,77,34,89,1991,1978,0,0.14,4.58
2014-11-06,62,58,66,55,76,36,88,1993,1963,0.17,0.15,1.67
2014-11-08,63,50,75,55,75,34,89,1991,1989,0,0.15,1.47
2014-11-09,60,47,72,54,75,29,88,1991,1969,0,0.15,3.08
2014-11-13,41,36,45,53,73,29,86,1907,2005,0.2,0.14,4.53
2014-11-15,48,43,53,52,73,25,88,1969,1978,0.3,0.14,2.8
2014-11-17,44,36,52,52,72,31,85,1997,2013,0,0.14,5.19
2014-11-19,50,30,69,51,71,30,85,2014,1985,0,0.14,2.1
2014-11-21,64,61,66,50,71,29,84,1937,1999,0.57,0.14,1.54
2014-11-22,63,58,68,50,70,30,87,1975,1973,0.11,0.13,3.09
2014-11-28,55,39,71,48,68,26,83,1976,1977,0,0.14,1.82
2014-11-30,71,61,80,48,68,19,82,1976,1950,0,0.15,1.41
2014-12-01,57,45,69,47,67,26,83,1979,2012,0.03,0.15,5.8
2014-12-03,59,52,66,47,67,25,85,1929,1995,0,0.14,2.5
2014-12-04,63,53,72,47,67,27,83,1897,2012,0,0.13,1.96
2014-12-05,72,65,79,46,66,26,83,2009,1998,0.07,0.13,2.02
2014-12-07,57,54,59,46,66,24,84,1950,1998,0,0.13,4.95
2014-12-08,57,46,67,46,66,25,83,1927,2007,0,0.13,1.95
2014-12-12,66,57,75,45,65,25,82,1989,1948,0,0.13,2.57
2014-12-13,64,54,74,45,65,19,82,1989,1921,0,0.12,2.85
2014-12-15,70,59,80,44,64,21,82,1901,1995,0,0.12,2.19
2014-12-19,56,52,59,44,64,20,81,1929,1978,3.06,0.12,3.06
2014-12-23,54,48,60,44,63,7,80,1989,1996,0.69,0.13,1.01
2014-12-24,46,37,55,43,63,11,82,1989,1948,0,0.11,2.04
2014-12-29,44,39,48,43,63,15,81,1894,1984,0,0.1,2.15
2014-12-30,46,38,53,43,63,19,83,1983,1974,0,0.1,1.36
2014-12-31,42,37,46,43,63,18,82,1983,1974,0,0.1,3.35
2015-01-02,51,47,54,43,63,16,81,1928,2000,0.63,0.1,2.26
2015-01-03,47,41,53,43,62,16,83,1911,1989,0.63,0.1,3.44
2015-01-09,39,37,40,43,63,19,80,1976,1974,0.06,0.1,2.49
2015-01-10,39,37,41,43,63,18,82,1977,1963,0.08,0.11,1.43
2015-01-12,46,43,49,43,63,11,81,1918,2000,0,0.11,2.27
2015-01-21,62,57,67,43,63,16,81,1985,1911,0,0.11,2.05
2015-01-22,52,44,60,43,63,15,80,1930,1972,0.87,0.12,2.52
2015-01-25,55,40,70,44,63,19,81,1894,1971,0,0.11,2.83
2015-01-26,56,44,67,44,64,23,84,1943,1975,0,0.11,2.58
2015-01-27,64,47,81,44,64,19,83,1897,1975,0,0.11,2.86
2015-01-29,62,49,75,44,64,22,82,1897,1975,0,0.11,1.93
2015-01-30,55,45,65,44,64,18,84,1949,1911,0,0.12,1.64
2015-01-31,53,42,63,44,64,14,82,1949,1911,0,0.11,2.12
2015-02-01,63,48,77,44,64,15,82,1951,1989,0.01,0.12,3.69
2015-02-05,48,41,55,45,65,23,83,1996,1957,0,0.1,1.8
2015-02-06,49,41,56,45,65,24,81,1989,1969,0,0.11,1.09
2015-02-08,66,54,77,45,65,10,82,1895,1932,0,0.11,1.84
2015-02-11,60,44,75,46,66,20,82,1981,1999,0,0.11,1.88
2015-02-12,56,46,66,46,66,6,84,1899,1922,0,0.12,2.7
2015-02-13,53,39,66,46,66,6,83,1899,1962,0,0.11,2.99
2015-02-17,44,34,54,47,67,16,86,1895,1907,0,0.12,0.87
2015-02-18,49,33,64,47,67,19,87,1936,1986,0,0.13,2.09
2015-02-19,51,37,64,47,67,20,88,1900,1986,0,0.12,1.3
2015-02-20,61,52,69,48,67,25,91,1908,1986,0.01,0.12,2.6
2015-02-21,70,65,75,48,67,24,89,1978,1996,0,0.12,1.98
2015-03-09,58,50,66,51,71,27,88,1932,2000,1.96,0.11,1.96
2015-03-15,64,55,73,52,73,32,89,1999,2008,0,0.11,2.06
2015-03-26,62,54,69,55,75,30,94,1955,1928,0.09,0.12,2.23
2015-03-27,62,44,80,55,76,31,89,1955,1935,0,0.11,3
2015-03-31,74,64,83,56,77,30,88,1987,1946,0,0.1,1.44
2015-04-01,74,69,79,56,77,39,89,1987,1936,0.01,0.1,2.26
2015-04-02,77,69,84,56,77,38,89,1996,1939,0,0.1,4.75
2015-04-04,67,61,73,56,77,34,88,1987,1897,0,0.1,3.35
2015-04-06,75,67,82,57,78,37,88,1970,1909,0,0.1,1.9
2015-04-16,74,65,82,59,80,38,92,1983,1987,1.66,0.11,4.7
2015-04-23,79,69,88,61,81,44,91,1998,1999,0,0.11,2.4
2015-04-28,64,56,71,63,82,47,95,1978,1987,0,0.12,3.76
2015-04-29,65,52,78,63,82,46,92,2008,1987,0,0.13,2.86
2015-05-05,73,63,82,65,84,49,94,1970,1906,0.13,0.17,3.6
2015-05-06,78,73,83,65,84,49,94,2013,1906,0.41,0.17,5
2015-05-10,82,77,87,66,85,51,94,1984,1927,0.03,0.17,5.89
2015-05-11,75,69,80,67,85,47,94,1981,1890,0.28,0.17,2.16
2015-05-12,74,69,79,67,85,50,92,1895,1967,0.56,0.16,5.27
2015-05-13,75,68,81,67,86,50,94,1895,1907,1.55,0.16,3.44
2015-05-15,79,73,84,68,86,49,92,1890,2003,0.15,0.18,4.64
2015-05-20,81,73,89,69,87,48,95,1894,2008,0.31,0.16,4.17
2015-05-25,77,66,88,70,88,56,95,1979,1927,4.34,0.16,4.34
2015-05-29,80,70,89,71,89,58,99,1984,1996,0.01,0.17,4.33
2015-05-31,78,69,87,71,90,50,98,1889,1998,0,0.17,3.45
2015-06-03,80,69,91,72,90,52,98,1970,1960,0,0.18,3.27
2015-06-06,83,72,93,72,91,57,105,1970,2011,0,0.18,2.66
2015-06-08,83,72,93,72,91,60,99,1977,1980,0,0.19,8.13
2015-06-11,84,73,94,73,91,61,101,1976,1902,0.01,0.21,5.63
2015-06-14,81,74,88,73,91,55,102,1903,1998,0.52,0.21,3.81
2015-06-18,81,76,86,74,92,64,103,1969,1918,0,0.22,3.29
2015-06-20,84,77,90,74,92,62,101,1976,1902,0.2,0.21,1.99
2015-06-21,86,78,93,74,92,59,100,1976,1998,0,0.21,2.04
2015-06-23,84,76,92,74,92,60,101,1904,2009,0,0.2,2.22
2015-06-27,83,73,93,75,92,57,102,1974,1980,2.38,0.19,2.5
2015-06-28,82,73,90,75,93,59,102,1974,2009,2.24,0.19,2.98
2015-06-29,84,76,92,75,93,59,107,1974,2013,0,0.19,2.5
